Wine;link;image_names;image_link
Otto Bucce N.V.;https://www.vivino.com/IT/en/fratelli-dezzani-srl-otto-bucce-nv/w/2660881;images/OttoBucceN.V..png;https://images.vivino.com/thumbs/xDJaiOGkRwm33I770HpvAg_pb_x600.png
Albarossa 2020;https://www.vivino.com/IT/en/fratelli-dezzani-srl-albarossa-2020/w/8710881;images/Albarossa2020.png;https://images.vivino.com/thumbs/hdLKpme5T3iXjtwunmON0g_pb_x600.png
Dogliani 2021;https://www.vivino.com/IT/en/it-clavesana-dogliani-2021/w/1424728;images/Dogliani2021.png;https://images.vivino.com/thumbs/-I2qMojQQPy85_RvMkV0xQ_pb_x600.png
Dolcetto d'Alba 2021;https://www.vivino.com/IT/en/giacosa-dolcetto-d-alba-2021/w/92453;images/Dolcettod'Alba2021.png;https://images.vivino.com/thumbs/THm7SXMkRgudZfOiHFAeCQ_pb_x600.png
Navirot Dolcetto d'Alba 2022;https://www.vivino.com/IT/en/trava-navirot-dolcetto-d-alba-2022/w/2631247;images/NavirotDolcettod'Alba2022.png;https://images.vivino.com/thumbs/HURqw84sRYSQ5t_NNd8_1A_pb_x600.png
Barbera 2022;https://www.vivino.com/IT/en/it-clavesana-barbera-g263d-2022/w/6470603;images/Barbera2022.png;https://images.vivino.com/thumbs/THZ_D3xOSiCImVyayYEt1g_150x200.jpg
L'Agreste Lacrima di Morro d'Alba 2021;https://www.vivino.com/IT/en/piersanti-l-agreste-lacrima-di-morro-d-alba-2021/w/1413248;images/L'AgresteLacrimadiMorrod'Alba2021.png;https://images.vivino.com/thumbs/f32Uh5dNQNqWDSGNXNX_xw_pb_x600.png
Barbera d'Alba 2021;https://www.vivino.com/IT/en/giacosa-barbera-d-alba-2021/w/1434342;images/Barberad'Alba2021.png;https://images.vivino.com/thumbs/WTCsb2n_QSeWZiOIlxKiqw_pb_x600.png
Boccanera Barbera Colli Tortonesi 2020;https://www.vivino.com/IT/en/boveri-luigi-boccanera-colli-tortonesi-barbera-2020/w/1191047;images/BoccaneraBarberaColliTortonesi2020.png;https://images.vivino.com/thumbs/MfzXPomCTM6-tZ_pU5kwPw_pb_x600.png
Campo del Palio Moscato d'Asti 2022;https://www.vivino.com/IT/en/cantine-povero-asti-mostcato-d-asti-campo-del-palio-2022/w/4792485;images/CampodelPalioMoscatod'Asti2022.png;https://images.vivino.com/thumbs/cLT5I59sRfuxfvtZh6zz6A_pb_x600.png
