Wine,link,Link_wine,image_link,image_names
Tenuta Corfecciano Urbana Chianti Montespertoli Riserva 2020,https://www.vivino.com/IT/en/parri-39249-tenuta-corfecciano-urbana-chianti-montespertoli-riserva-2020/w/1279889,https://www.wine-searcher.com/find/parri+39249+tenuta+corfecciano+urbana+chianti+montespertoli+riserva/2020/#t4,https://images.vivino.com/thumbs/0coMM8uFRpGh2Ql1b_ooyg_pb_x600.png,TenutaCorfeccianoUrbanaChiantiMontespertoliRiserva2020.png
Fonte dell'Anguillaia 2019,https://www.vivino.com/IT/en/rigoloccio-fonte-dell-anguillaia-2019/w/6490230,https://www.wine-searcher.com/find/rigoloccio+fonte+dell+anguillaia/2019/#t4,https://images.vivino.com/thumbs/4bQlW_txSyi6pJrUlLcXLw_pb_x600.png,Fontedell'Anguillaia2019.png
Pelofino Toscana Rosso 2013,https://www.vivino.com/IT/en/fattoria-le-pupille-pelofino-toscana-rosso-2013/w/1199793,https://www.wine-searcher.com/find/fattoria+le+pupille+pelofino+toscana+rosso/2013/#t4,https://images.vivino.com/thumbs/mBYGnjUKSJq6TFd1XluHOA_pb_x600.png,PelofinoToscanaRosso2013.png
Tenuta Comunali Rosso di Montalcino 2020,https://www.vivino.com/IT/en/bartoli-giusti-tenuta-comunali-rosso-di-montalcino-2020/w/1200984,https://www.wine-searcher.com/find/bartoli+giusti+tenuta+comunali+rosso+di+montalcino/2020/#t4,https://images.vivino.com/thumbs/iOv9K0hgSZCUJGO23whFMA_150x200.jpg,TenutaComunaliRossodiMontalcino2020.png
Tenuta Guado al Tasso Scalabrone Bolgheri Rosato 1978,https://www.vivino.com/IT/en/antinori-tuscany-marchesi-antinori-tenuta-guado-al-tasso-scalabrone-bolgheri-rosato-1978/w/1159157,https://www.wine-searcher.com/find/antinori+tuscany+marchesi+antinori+tenuta+guado+al+tasso+scalabrone+bolgheri+rosato/1978/#t4,https://images.vivino.com/thumbs/d-pTkoGMTReAFwyGWoRsxg_pb_x600.png,TenutaGuadoalTassoScalabroneBolgheriRosato1978.png
Gaiole Ricasole Chianti Classico 1971,https://www.vivino.com/IT/en/ricasoli-gaiole-ricasole-chianti-classico-1971/w/2115507,https://www.wine-searcher.com/find/ricasoli+gaiole+ricasole+chianti+classico/1971/#t4,https://images.vivino.com/thumbs/02njvs1klnfdn_150x200.jpg,GaioleRicasoleChiantiClassico1971.png
Chianti Rufina 2020,https://www.vivino.com/IT/en/dreolino-chianti-rufina-2020/w/1226249,https://www.wine-searcher.com/find/dreolino+chianti+rufina/2020/#t4,https://images.vivino.com/thumbs/IOC2towOTOG4cy0ajtNP4g_150x200.jpg,ChiantiRufina2020.png
Brolio Chianti Classico 2017,https://www.vivino.com/IT/en/ricasoli-brolio-chianti-classico-2017/w/1166103,https://www.wine-searcher.com/find/ricasoli+brolio+chianti+classico/2017/#t4,https://images.vivino.com/thumbs/huwn4eYETX6OgUgoejGgCg_pb_x600.png,BrolioChiantiClassico2017.png
Il Grullaio 2018,https://www.vivino.com/IT/en/usiglian-del-vescovo-il-grullaio-tuscany-2018/w/2426367,https://www.wine-searcher.com/find/usiglian+del+vescovo+il+grullaio+tuscany/2018/#t4,https://images.vivino.com/thumbs/TTwKPftUQpGDzZSG4NTV7w_pb_x600.png,IlGrullaio2018.png
Chianti Classico 2013,https://www.vivino.com/IT/en/fietri-chianti-classico-2013/w/1457553,https://www.wine-searcher.com/find/fietri+chianti+classico/2013/#t4,https://images.vivino.com/thumbs/-LAvEIR8QimXzURVkF3PJg_pb_x600.png,ChiantiClassico2013.png
Il Ginestraio 2019,https://www.vivino.com/IT/en/usiglian-del-vescovo-il-ginestraio-2019/w/2431147,https://www.wine-searcher.com/find/usiglian+del+vescovo+il+ginestraio/2019/#t4,https://images.vivino.com/thumbs/YPCxockJR86-SCv2v28GWQ_pb_x600.png,IlGinestraio2019.png
Botrosecco Maremma Toscana 2015,https://www.vivino.com/IT/en/le-mortelle-botrosecco-maremma-toscana-2015/w/1204383,https://www.wine-searcher.com/find/le+mortelle+botrosecco+maremma+toscana/2015/#t4,https://images.vivino.com/thumbs/fzVtsPk4RRy69hNyVu58Sg_pb_x600.png,BotroseccoMaremmaToscana2015.png
Rosato 2019,https://www.vivino.com/IT/en/tenuta-le-colonne-rosato-2019/w/6143001,https://www.wine-searcher.com/find/tenuta+le+colonne+rosato/2019/#t4,https://images.vivino.com/thumbs/tBaDvuFAST2-N10hX7kF5w_pb_x600.png,Rosato2019.png
Morellino di Scansano 2018,https://www.vivino.com/IT/en/laselva-morellino-di-scansano-2018/w/1376421,https://www.wine-searcher.com/find/laselva+morellino+di+scansano/2018/#t4,https://images.vivino.com/thumbs/VwdlscCpSsGK5kWNxKpjtg_pb_x600.png,MorellinodiScansano2018.png
RosaMati Maremma Toscana Rosato 2020,https://www.vivino.com/IT/en/fattoria-le-pupille-rosamati-maremma-toscana-rosato-2020/w/1234415,https://www.wine-searcher.com/find/fattoria+le+pupille+rosamati+maremma+toscana+rosato/2020/#t4,https://images.vivino.com/thumbs/hbawiD0qTCaQYo1KUoqGVQ_pb_x600.png,RosaMatiMaremmaToscanaRosato2020.png
